cat_name,cat_slug,cat_id,cat_parent_id,cat_order
Aquabike,aquabike,453,0,1
Aquathlon,aquathlon,353,0,2
Corporate,corporate,479,357,1
Cross Duathlon,cross_duathlon,408,0,3
Cross Triathlon,cross_triathlon,354,0,4
Duathlon,duathlon,355,0,5
Eliminator,eliminator,611,357,2
Long Distance,long_distance_duathlon,369,355,1
Long Distance,long_distance,374,356,1
Long Distance,long_distance_aquabike,454,453,1
Long Distance,long_distance_aquathlon,360,353,1
Long Distance Triathlon,long_distance_triathlon,356,0,6
Middle Distance,middle_distance,373,356,2
Middle Distance,middle_distance_duathlon,450,355,2
Mixed Relay,mixed_relay_duathlon,371,355,3
Mixed Relay,mixed_relay_aquathlon,480,353,2
Mixed Relay,mixed_relay,380,357,3
Mixed Relay,mixed_relay_winter_triathlon,385,358,1
Mixed Relay,mixed_relay_cross_duathlon,411,408,1
Mixed Relay,mixed_relay_cross_triathlon,365,354,1
Mixed Relay,winter_duathlon_mixed_relay,596,595,1
Paratriathlon,winter_duathlon_paratriathlon,597,595,2
Paratriathlon,paratriathlon,381,357,4
Paratriathlon,paratriathlon_cross_triathlon,366,354,2
Paratriathlon,paratriathlon_aquathlon,361,353,3
Paratriathlon,paratriathlon_winter_triathlon,386,358,2
Paratriathlon,paratriathlon_cross_duathlon,412,408,2
Paratriathlon,paratriathlon_long_distance_triathlon,375,356,3
Paratriathlon,paratriathlon_duathlon,372,355,4
Relay,relay_cross_triathlon,364,354,3
Relay,relay_cross_duathlon,410,408,3
Relay,relay_winter_triathlon,384,358,3
Relay,relay_duathlon,370,355,5
Relay,relay,379,357,5
S3,s3,475,358,4
Sprint,sprint_winter_triathlon,382,358,5
Sprint,sprint_duathlon,367,355,6
Sprint,sprint,376,357,6
Sprint,sprint_cross_duathlon,409,408,4
Sprint,winter_duathlon_sprint,598,595,3
Sprint,sprint_cross_triathlon,362,354,4
Standard,standard_duathlon,368,355,7
Standard,standard,377,357,7
Standard,standard_winter_triathlon,383,358,6
Standard,standard_aquathlon,359,353,4
Standard,standard_cross,363,354,5
Standard,winter_duathlon_standard,599,595,4
Standard,standard_aquabike,566,453,2
Standard,standard_cross_duathlon,413,408,5
Super Sprint,super_sprint,378,357,8
Triathlon,triathlon,357,0,7
Winter Duathlon,winter_duathlon,595,0,8
Winter Triathlon,winter_triathlon,358,0,9
