event_id,event_title,event_slug,event_venue,event_website,event_date,event_country,event_region_id,event_country_id,event_latitude,event_longitude,event_categories,event_specifications
195167,2026 World Triathlon Cup Tauranga,2026-world-triathlon-cup-tauranga,,,0000-00-00,New Zealand,14,232,,,"[{'event_id': 195167, 'cat_id': 349, 'cat_name': 'World Cup', 'cat_parent_id': 1}]","[{'event_id': 195167, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}]"
149007,1985 Ulster ETU Triathlon Team Relay European Championships,1985-ulster-etu-triathlon-team-relay-european-championships,Ulster,,1985-06-08,Ireland,10,188,54.76166,-6.96123,"[{'event_id': 149007, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 149007, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 149007, 'cat_id': 379, 'cat_name': 'Relay', 'cat_parent_id': 357}]"
140860,1985 Immenstadt ETU Triathlon European Championships,1985-immenstadt-etu-triathlon-european-championships,Immenstadt,,1985-07-27,Germany,10,170,47.55922,10.22066,"[{'event_id': 140860, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140860, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 140860, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
140949,1985 Almere ETU Long Distance Triathlon European Championships,1985-almere-etu-long-distance-triathlon-european-championships,Almere,,1985-08-17,Netherlands,10,230,52.35078,5.2647,"[{'event_id': 140949, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140949, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 140949, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
140885,1985 Abenra ETU Middle Distance Triathlon European Championships,1985-abenra-etu-middle-distance-triathlon-european-championships,Aabenraa,,1985-09-01,Denmark,10,153,55.04085,9.41516,"[{'event_id': 140885, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140885, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 140885, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
149058,1986 Mansfield ETU Triathlon Team Relay European Championships,1986-mansfield-etu-triathlon-team-relay-european-championships,Mansfield,,1986-01-01,Great Britain,10,292,53.13577,-1.22142,"[{'event_id': 149058, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 149058, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 149058, 'cat_id': 379, 'cat_name': 'Relay', 'cat_parent_id': 357}]"
140919,1986 Brasschaat ETU Middle Distance Triathlon European Championships,1986-brasschaat-etu-middle-distance-triathlon-european-championships,Brasschaat,,1986-06-21,Belgium,10,119,51.29227,4.49419,"[{'event_id': 140919, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140919, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 140919, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
140869,1986 Milton Keynes ETU Triathlon European Championships,1986-milton-keynes-etu-triathlon-european-championships,Milton Kaynes,,1986-06-22,Great Britain,10,292,52.04062,-0.75942,"[{'event_id': 140869, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140869, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 140869, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
141060,1986 Sater ETU Long Distance Triathlon European Championships,1986-sater-european-long-distance-triathlon-european-championships,Säter,,1986-07-06,Sweden,10,275,60.34665,15.7479,"[{'event_id': 141060, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 141060, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 141060, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
140870,1987 Marseille ETU Triathlon European Championships,1987-marseille-etu-triathlon-european-championships,Marseille,,1987-05-31,France,10,166,43.29648,5.36978,"[{'event_id': 140870, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140870, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 140870, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
140921,1987 Roth ETU Middle Distance Triathlon European Championships,1987-roth-etu-middle-distance-triathlon-european-championships,Roth,,1987-06-20,Germany,10,170,49.24563,11.09116,"[{'event_id': 140921, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140921, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 140921, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
141062,1987 Joroinen ETU Long Distance Triathlon European Championships,1987-joroinen-etu-long-distance-triathlon-european-championships,Joroinen,,1987-07-21,Finland,10,165,62.17914,27.82588,"[{'event_id': 141062, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 141062, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 141062, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
140944,1988 Stein ETU Middle Distance Triathlon European Championships,1988-stein-etu-middle-distance-triathlon-european-championships,Stein,,1988-07-10,Netherlands,10,230,38.88056,-94.65919,"[{'event_id': 140944, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140944, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 140944, 'cat_id': 373, 'cat_name': 'Middle Distance', 'cat_parent_id': 356}]"
140871,1988 Venice ETU Triathlon European Championships,1987-marseille-etu-triathlon-european-championships1,venice,,1988-09-10,Italy,10,190,45.44085,12.31552,"[{'event_id': 140871, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 140871, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 140871, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
5060,1989 Cascais ETU Triathlon European Championships,1989-cascais-etu-triathlon-european-championships,Cascais,,1989-06-11,Portugal,10,247,38.6972772,-9.4217563,"[{'event_id': 5060, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 5060, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 5060, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
4905,1989 Avignon ITU Triathlon World Championships,1989-avignon-itu-triathlon-world-championships,Avignon,,1989-08-06,France,10,166,43.9486126,4.8059666,"[{'event_id': 4905, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}]","[{'event_id': 4905, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 4905, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
185203,1989 Avignon ITU Age-Group Triathlon World Championships,1989-avignon-itu-age-group-triathlon-world-championships,Avignon,,1989-08-06,France,10,166,43.949317,4.805528,"[{'event_id': 185203, 'cat_id': 348, 'cat_name': 'World Championships', 'cat_parent_id': 1}, {'event_id': 185203, 'cat_id': 483, 'cat_name': 'Age-Group Event', 'cat_parent_id': 1}]","[{'event_id': 185203, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 185203, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
141063,1989 Rodekro ETU Long Distance Triathlon European Championships,1989-rodekro-etu-long-distance-triathlon-european-championships,Rodekro,,1989-08-12,Denmark,10,153,55.07269,9.32902,"[{'event_id': 141063, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 141063, 'cat_id': 356, 'cat_name': 'Long Distance Triathlon', 'cat_parent_id': 3}, {'event_id': 141063, 'cat_id': 374, 'cat_name': 'Long Distance', 'cat_parent_id': 356}]"
149149,1989 Geneva ETU Triathlon Youth and Junior European Championships,1989-geneva-etu-triathlon-youth-and-junior-european-championships,Geneva,,1989-09-09,Switzerland,10,276,46.20439,6.14316,"[{'event_id': 149149, 'cat_id': 340, 'cat_name': 'Continental Championships', 'cat_parent_id': 1}]","[{'event_id': 149149, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 149149, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
150760,1990 Holten ETU Duathlon European Cup,1990-holten-etu-duathlon-european-cup,Holten,,1990-04-22,Netherlands,10,230,52.28272,6.42226,"[{'event_id': 150760, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 150760, 'cat_id': 355, 'cat_name': 'Duathlon', 'cat_parent_id': 3}, {'event_id': 150760, 'cat_id': 368, 'cat_name': 'Standard', 'cat_parent_id': 355}]"
150759,1990 Zofingen ETU Duathlon European Cup,1990-zofingen-etu-duathlon-european-cup,Zofingen,,1990-05-02,Switzerland,10,276,47.28884,7.94476,"[{'event_id': 150759, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 150759, 'cat_id': 355, 'cat_name': 'Duathlon', 'cat_parent_id': 3}, {'event_id': 150759, 'cat_id': 368, 'cat_name': 'Standard', 'cat_parent_id': 355}]"
150851,1990 Banyoles ETU Triathlon European Cup,1990-banyoles-etu-triathlon-european-cup,Banyoles,,1990-05-20,Spain,10,270,42.11971,2.75794,"[{'event_id': 150851, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 150851, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 150851, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
150852,1990 Geel ETU Triathlon European Cup,1990-geel-etu-triathlon-european-cup,Geel,,1990-05-27,Belgium,10,119,51.16257,4.99084,"[{'event_id': 150852, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 150852, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 150852, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
150853,1990 Arcachon ETU Triathlon European Cup,1990-arcachon-etu-triathlon-european-cup,Arcachon,,1990-06-03,France,10,166,44.6523,-1.1785,"[{'event_id': 150853, 'cat_id': 341, 'cat_name': 'Continental Cup', 'cat_parent_id': 1}]","[{'event_id': 150853, 'cat_id': 357, 'cat_name': 'Triathlon', 'cat_parent_id': 3}, {'event_id': 150853, 'cat_id': 377, 'cat_name': 'Standard', 'cat_parent_id': 357}]"
