prog_id,event_id,prog_name,is_race,prog_date,prog_gender,results,team,race_title,race_venue,race_country,cat_id,cat_name
350096,140869,Elite Men,True,1986-06-22,male,True,False,1986 Milton Keynes ETU Triathlon European Championships,Milton kaynes,Great britain,[340],['Continental Championships']
350099,140870,Elite Men,True,1987-05-31,male,True,False,1987 Marseille ETU Triathlon European Championships,Marseille,France,[340],['Continental Championships']
350102,140871,Elite Men,True,1988-06-20,male,True,False,1988 Venice ETU Triathlon European Championships,Venice,Italy,[340],['Continental Championships']
3670,5060,Elite Men,True,1989-06-11,male,True,False,1989 Cascais ETU Triathlon European Championships,Cascais,Portugal,[340],['Continental Championships']
2802,4905,Elite Men,True,1989-08-06,male,True,False,1989 Avignon ITU Triathlon World Championships,Avignon,France,[348],['World Championships']
8984,4905,Junior Men,True,1989-08-06,male,True,False,1989 Avignon ITU Triathlon World Championships,Avignon,France,[348],['World Championships']
8994,185203,20-24 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
8995,185203,25-29 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
8996,185203,30-34 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
8997,185203,35-39 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
8998,185203,40-44 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
8999,185203,45-49 Male AG,True,1989-08-06,male,True,False,1989 Avignon ITU Age-Group Triathlon World Championships,Avignon,France,"[348, 483]","['World Championships', 'Age-Group Event']"
